amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
503-9618406-2703018		2025-11-30T23:56:16+09:00	2025-12-03T19:15:05+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー(JP, アルファベット, 2XL, ベージュ)	30713-D-03	B0FTZ72STB	Shipped	1	JPY	1498.0	136.0								大阪府	571-0015	JP	
503-1058838-2270265	503-1058838-2270265	2025-11-30T23:27:59+09:00	2025-12-06T14:09:09+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-B-01	B0FM3H1Y97	Shipped	1	JPY	1000.0	91.0								兵庫県	656-0012	JP	
503-2915564-6095063		2025-11-30T23:26:48+09:00	2025-12-03T16:15:15+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 インナー 長袖 黒 高密度 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L (JP, アルファベット, M, ブラック)	30718-A-01	B0FXBHCT99	Shipped	1	JPY	1590.0	145.0								山口県	753-0816	JP	
250-2674489-1322269		2025-11-30T23:18:41+09:00	2025-12-01T11:22:26+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 長袖 黒 高密度 裏起毛 インナー 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L(JP, アルファベット, L, ブラック)	30718-B-01	B0FXBGCBBD	Shipped	1	JPY	1590.0	145.0								群馬県	371-0235	JP	
250-0290413-7991824		2025-11-30T23:17:59+09:00	2025-12-18T00:50:37+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 インナー 長袖 黒 高密度 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L (JP, アルファベット, M, ブラック)	30718-A-01	B0FXBHCT99	Shipped	1	JPY	1590.0	145.0								神奈川県	230-0051	JP	
250-4050466-1540610		2025-11-30T22:31:10+09:00	2025-12-01T12:14:52+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 超極暖 裏起毛インナー ブラック 黒 高密度 インナー 大きいサイズ メンズ 長袖 ヒートテック ベルベット体感＋5℃ ストレッチ インナー 防寒 下着 抗菌 ふんわり裏起毛 男性 M/L/2L/3L (JP, アルファベット, M, ブラック)	30719-A-01	B0G37HF5NC	Shipped	2	JPY	3380.0	307.0								東京都	168-0072	JP	
249-9139705-8634265		2025-11-30T22:23:21+09:00	2025-12-01T11:21:50+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 インナー 長袖 黒 高密度 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L (JP, アルファベット, M, ブラック)	30718-A-01	B0FXBHCT99	Shipped	1	JPY	1590.0	145.0								宮崎県	880-0051	JP	
250-1399448-1117450		2025-11-30T22:16:46+09:00	2025-12-01T11:16:30+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 長袖 黒 高密度 裏起毛 インナー 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L(JP, アルファベット, L, ブラック)	30718-B-01	B0FXBGCBBD	Shipped	1	JPY	1590.0	145.0								埼玉県	350-1308	JP	
503-4653618-0435026	503-4653618-0435026	2025-11-30T22:16:05+09:00	2025-12-06T09:55:35+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 イ 	30815-E-05	B0FLTZN3KL	Shipped	1	JPY	1898.0	172.0	460.0	42.0						新潟県	943-0897	JP	
250-5495391-8637443		2025-11-30T22:15:06+09:00	2025-11-30T22:18:13+09:00	Cancelled	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 超極暖 裏起毛インナー ブラック 黒 高密度 インナー 大きいサイズ メンズ 長袖 ヒートテック ベルベット体感＋5℃ ストレッチ インナー 防寒 下着 抗菌 ふんわり裏起毛 男性 M/L/2L/3L (JP, アルファベット, L, ブラック)	30719-B-01	B0G37DQW8X		0											東京都	168-0072	JP	
503-3599244-5840655		2025-11-30T22:12:51+09:00	2025-12-01T11:20:37+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 インナー 長袖 黒 高密度 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L (JP, アルファベット, M, ブラック)	30718-A-01	B0FXBHCT99	Shipped	1	JPY	1590.0	145.0								兵庫県	665-0875	JP	
503-1303082-9036622	503-1303082-9036622	2025-11-30T22:05:27+09:00	2025-12-01T16:23:37+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 イ 	30815-C-01	B0FLTDQZVG	Shipped	1	JPY	1898.0	173.0								宮城県	982-0001	JP	
