amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-5246418-1523864	249-5246418-1523864	2025-09-30T23:24:27+09:00	2025-10-01T06:19:24+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-A-07	B0FLXB4G4R	Shipped	1	JPY	1590.0	145.0								岐阜県	501-0234	JP	
249-4138706-5083024	249-4138706-5083024	2025-09-30T22:29:37+09:00	2025-10-01T20:09:05+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-B-01	B0FM3H1Y97	Shipped	1	JPY	1000.0	91.0	250.0	23.0						福岡県	826-0041	JP	
249-9401506-6259048	249-9401506-6259048	2025-09-30T21:40:59+09:00	2025-10-01T18:23:09+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 イ 	30815-C-06	B0FS5V1Q36	Shipped	1	JPY	1698.0	154.0								神奈川県	211-0031	JP	
503-9619218-5194220	503-9619218-5194220	2025-09-30T21:23:05+09:00	2025-10-02T18:14:00+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 イ 	30815-B-01	B0FLTFV6N2	Shipped	1	JPY	1698.0	155.0	115.0	10.0				115.0		和歌山県	641-0036	JP	
249-6386049-2105404	249-6386049-2105404	2025-09-30T19:40:12+09:00	2025-10-01T02:05:15+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-B-01	B0FM3H1Y97	Shipped	1	JPY	1000.0	91.0								大阪府	595-0026	JP	
503-5356861-9278269	503-5356861-9278269	2025-09-30T16:27:18+09:00	2025-10-01T02:23:25+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤー キャミソール型 シームレスブラ 2枚セット ナイトブラ ブラトップ 昼夜兼用 レディース  	30904-C-02	B0FLX9HJMY	Shipped	1	JPY	1589.0	144.0								愛知県	462-0845	JP	
503-8383160-9764620	503-8383160-9764620	2025-09-30T08:42:14+09:00	2025-10-02T00:11:41+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-07	B0FLXDCDRS	Shipped	1	JPY	1590.0	145.0					250.0			神奈川県	252-0206	JP	PLM-2e9ad8e6-269a-438e-8d9d-ad6c2197bbec
249-8051553-5921420	249-8051553-5921420	2025-09-30T02:06:21+09:00	2025-10-03T10:09:25+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 綿 ハイウエストショーツ 4枚セット レディース 深履き 深め 温活ショーツ 鼠径部 締め付けない お尻す 	30819-D-02	B0FLTSDX3C	Shipped	1	JPY	1798.0	163.0								北海道	065-0009	JP	
249-8051553-5921420	249-8051553-5921420	2025-09-30T02:06:21+09:00	2025-10-03T10:09:25+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 綿 ハイウエストショーツ 4枚セット レディース 深履き 深め 温活ショーツ 鼠径部 締め付けない コット 	30819-D-01	B0FLSZKQ72	Shipped	1	JPY	1798.0	163.0								北海道	065-0009	JP	
249-3916185-6459062	249-3916185-6459062	2025-09-29T23:47:44+09:00	2025-09-30T18:50:06+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-07	B0FLXDCDRS	Shipped	1	JPY	1590.0	145.0	115.0	10.0				115.0		高知県	787-0037	JP	
249-4233371-7126260	249-4233371-7126260	2025-09-29T23:40:50+09:00	2025-09-29T23:41:47+09:00	Cancelled	Amazon	Amazon.co.jp			Standard	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-07	B0FLXDCDRS	Cancelled	0											高知県	787-0037	JP	
250-7027469-6048627	250-7027469-6048627	2025-09-29T22:27:51+09:00	2025-09-30T06:02:03+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 イ 	30815-C-02	B0FLTZ9C7W	Shipped	1	JPY	1698.0	154.0								佐賀県	842-0003	JP	
250-1166366-4680646	250-1166366-4680646	2025-09-29T19:54:07+09:00	2025-10-02T20:59:20+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-06	B0FLXB89TJ	Shipped	1	JPY	1590.0	145.0					250.0			秋田県	011-0922	JP	PLM-2e9ad8e6-269a-438e-8d9d-ad6c2197bbec
250-4826126-1597420	250-4826126-1597420	2025-09-29T16:16:39+09:00	2025-10-01T06:21:30+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 イ 	30815-C-01	B0FLTDQZVG	Shipped	1	JPY	1698.0	154.0								長崎県	856-0009	JP	
250-3925746-0030215	250-3925746-0030215	2025-09-29T15:33:03+09:00	2025-10-01T00:14:20+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-04	B0FLX9T8B5	Shipped	1	JPY	1590.0	145.0					83.0			新潟県	949-7132	JP	PLM-2e9ad8e6-269a-438e-8d9d-ad6c2197bbec
