amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-2560536-7667034	249-2560536-7667034	2025-10-31T19:37:12+09:00	2025-11-01T02:10:15+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-B-01	B0FM3H1Y97	Shipped	1	JPY	1000.0	91.0								埼玉県	343-0821	JP	
503-1074518-8305422	503-1074518-8305422	2025-10-31T15:45:56+09:00	2025-11-01T01:03:30+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] レディース 赤いパンツ 2枚セット 綿 ハイウエスト レース付き 大きいサイズ 運気アップ 開運 パンツ イ	30817R-C-01	B0FM3HQB4L	Shipped	1	JPY	1198.0	109.0								栃木県	320-0003	JP	
249-5146681-1987056	249-5146681-1987056	2025-10-31T14:52:07+09:00	2025-10-31T23:47:25+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-B-01	B0FM3H1Y97	Shipped	1	JPY	1000.0	91.0								東京都	178-0064	JP	
503-9671136-7601427		2025-10-31T14:36:12+09:00	2025-11-02T01:39:09+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 インナー 長袖 黒 高密度 大きいサイズ レディース 防寒インナー 温活 ストレッチ 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L(JP, アルファベット, XL, ブラック)	30718-C-01	B0FXBHGYZ4	Shipped	1	JPY	1590.0	145.0								長野県	390-0877	JP	
503-8163491-2483859	503-8163491-2483859	2025-10-31T12:40:12+09:00	2025-11-01T14:21:46+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[&mellow] 7枚セット シームレスショーツ レディース 深め ハイウエスト 深履き 下着 クロッチ綿100％ シームレス 	30827-A-01	B0FSZQLYR7	Shipped	1	JPY	1980.0	180.0	166.0	15.0				166.0		北海道	062-0902	JP	
250-3121914-1572627	250-3121914-1572627	2025-10-31T11:58:41+09:00	2025-10-31T17:15:05+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 7枚セット シームレスショーツ レディース 深め ハイウエスト 深履き 下着 クロッチ綿100％ シームレス 	30827-D-01	B0FSZQ33B1	Shipped	1	JPY	1980.0	180.0								奈良県	630-8106	JP	
250-7562270-0891822		2025-10-31T11:41:57+09:00	2025-10-31T15:01:32+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 長袖 黒 高密度 裏起毛 インナー 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L(JP, アルファベット, L, ブラック)	30718-B-01	B0FXBGCBBD	Shipped	1	JPY	1590.0	145.0								鳥取県	689-3211	JP	
503-0042468-6450262	503-0042468-6450262	2025-10-31T09:52:47+09:00	2025-10-31T17:14:50+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-A-01	B0FM3JKLJ3	Shipped	2	JPY	2000.0	182.0								京都府	611-0013	JP	
249-1330548-6875841	249-1330548-6875841	2025-10-31T07:22:53+09:00	2025-11-01T09:40:56+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-C-01	B0FM3G5QMY	Shipped	1	JPY	1000.0	91.0								京都府	616-8317	JP	
249-8068834-7739839		2025-10-31T07:05:11+09:00	2025-10-31T12:20:17+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 インナー 長袖 黒 高密度 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L (JP, アルファベット, M, ブラック)	30718-A-01	B0FXBHCT99	Shipped	2	JPY	3180.0	289.0								愛媛県	791-8031	JP	
