amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-6499614-3141404		2025-12-31T22:50:22+09:00	2026-01-03T13:02:09+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 インナー 長袖 黒 高密度 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L (JP, アルファベット, M, ブラック)	30718-A-01	B0FXBHCT99	Shipped	2	JPY	3180.0	289.0								岩手県	020-0611	JP	
250-4427847-7994258	250-4427847-7994258	2025-12-31T22:37:36+09:00	2026-01-01T15:12:04+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[&mellow] レディース 赤いパンツ 2枚セット 綿 ハイウエスト レース付き 大きいサイズ 運気アップ 開運 パンツ イ	30817R-A-01	B0FM3FT5XB	Shipped	1	JPY	1298.0	118.0								香川県	761-4432	JP	
250-8059795-5692635	250-8059795-5692635	2025-12-31T22:33:27+09:00	2026-01-02T15:32:55+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[&mellow] レディース 赤いパンツ 2枚セット 綿 ハイウエスト レース付き 大きいサイズ 運気アップ 開運 パンツ イ	30817R-C-01	B0FM3HQB4L	Shipped	1	JPY	1298.0	118.0								香川県	761-4432	JP	
503-3626952-2911006	503-3626952-2911006	2025-12-31T22:13:21+09:00	2026-01-03T09:25:54+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-03	B0FLXC4TX6	Shipped	1	JPY	1798.0	163.0								東京都	162-0813	JP	
503-3626952-2911006	503-3626952-2911006	2025-12-31T22:13:21+09:00	2026-01-03T09:25:54+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-02	B0FLXC2QHS	Shipped	1	JPY	1798.0	164.0								東京都	162-0813	JP	
503-3626952-2911006	503-3626952-2911006	2025-12-31T22:13:21+09:00	2026-01-03T09:25:54+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-06	B0FLXB89TJ	Shipped	1	JPY	1798.0	163.0								東京都	162-0813	JP	
249-9020866-5994260	249-9020866-5994260	2025-12-31T22:08:17+09:00	2026-01-10T15:40:23+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[&mellow] レディース 赤いパンツ 2枚セット 綿 ハイウエスト レース付き 大きいサイズ 運気アップ 開運 パンツ イ	30817R-C-01	B0FM3HQB4L	Shipped	1	JPY	1298.0	118.0	77.0	7.0				77.0		秋田県	010-0833	JP	
249-8180853-0319834		2025-12-31T21:57:05+09:00	2026-01-03T13:02:00+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	[&mellow] 超極暖 裏起毛インナー 厚手 裏起毛 インナー 長袖 黒 高密度 大きいサイズ レディース 防寒インナー 温活 ストレッチ インナー 防寒 下着 裏ボア カットソー トップス 無地 M/L/2L/3L (JP, アルファベット, M, ブラック)	30718-A-01	B0FXBHCT99	Shipped	1	JPY	1590.0	145.0								三重県	515-0016	JP	
250-0590309-4449464	250-0590309-4449464	2025-12-31T21:45:48+09:00	2026-01-01T05:57:03+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 イ 	30815-B-02	B0FLTX27FQ	Shipped	1	JPY	1898.0	173.0								神奈川県	222-0024	JP	
249-2766970-7957415	249-2766970-7957415	2025-12-31T19:44:04+09:00	2026-01-01T13:14:43+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-D-01	B0FM3JY1PK	Shipped	1	JPY	1000.0	91.0								東京都	203-0051	JP	
