amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-7669373-3680650		2026-02-28T17:44:47+09:00	2026-03-01T16:39:31+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, 2XL, ブラック)	30713-D-01	B0FTZ6KK7X	Shipped	1	JPY	1698.0	154.0								香川県	761-8074	JP	
249-7669373-3680650		2026-02-28T17:44:47+09:00	2026-03-01T16:39:31+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, 2XL, モカ)	30713-D-02	B0FTZ752SL	Shipped	1	JPY	1698.0	155.0								香川県	761-8074	JP	
503-5570335-3159826	503-5570335-3159826	2026-02-28T17:27:04+09:00	2026-03-01T22:06:40+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-C-06	B0FLXCZJZY	Shipped	1	JPY	1798.0	163.0								愛知県	444-0826	JP	
503-5570335-3159826	503-5570335-3159826	2026-02-28T17:27:04+09:00	2026-03-01T22:06:40+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-C-08	B0FLXBSL3S	Shipped	1	JPY	1798.0	164.0								愛知県	444-0826	JP	
249-6674051-5726256	249-6674051-5726256	2026-02-28T17:16:07+09:00	2026-02-28T23:13:20+09:00	Cancelled	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-C-02	B0FLXD346X	Cancelled	0											群馬県	376-0011	JP	
249-8274321-6399024		2026-02-28T17:00:54+09:00	2026-03-01T01:11:27+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, L, ブラック)	30713-B-01	B0FTZ5979D	Shipped	1	JPY	1698.0	154.0								東京都	106-0047	JP	
249-8274321-6399024		2026-02-28T17:00:54+09:00	2026-03-01T01:11:27+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー タンクトップ レディース アンダーゴムなし シームレスブラ 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ モカ ベージュ ブラック M～3L (JP, アルファベット, L, ベージュ)	30713-B-03	B0FTZ5HM4N	Shipped	1	JPY	1698.0	155.0								東京都	106-0047	JP	
250-4164600-6721423	250-4164600-6721423	2026-02-28T16:30:14+09:00	2026-03-01T18:06:14+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-03	B0FLXC4TX6	Shipped	1	JPY	1798.0	164.0								千葉県	299-4122	JP	
250-4164600-6721423	250-4164600-6721423	2026-02-28T16:30:14+09:00	2026-03-01T18:06:14+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-01	B0FLXBR4ZS	Shipped	1	JPY	1798.0	163.0								千葉県	299-4122	JP	
503-6054927-1455008	503-6054927-1455008	2026-02-28T15:00:45+09:00	2026-03-01T13:11:56+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 開運 赤いパンツ 2枚セット レディース 綿混 ハイウエスト 綿ショーツ 温活 深履き 深め ショーツ 大き 	30815R-B-01	B0FM3H1Y97	Shipped	1	JPY	1000.0	91.0								東京都	136-0076	JP	
