※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。

データ対象期間,2026/02/01 ～ 2026/02/28
カタログID,商品管理番号,商品番号,商品名,SKU管理番号,システム連携用SKU番号,"SKU項目1","SKU項目2","SKU項目3","SKU項目4","SKU項目5","SKU項目6",売上金額,売上件数,売上個数
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-A-01","","ブラック【タンクトップ】","M","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-B-15","","テラコッタ【タンクトップ】","L","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-C-03","","チャコール【タンクトップ】","LL","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-C-15","","テラコッタ【タンクトップ】","LL","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-D-01","","ブラック【タンクトップ】","3L","","","","",5960,2,4
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-D-04","","チャコール【キャミソール】","3L","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-E-01","","ブラック【タンクトップ】","4L","","","","",2680,2,2
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-E-07","","モカベージュ【タンクトップ】","4L","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-E-13","","ホワイト【タンクトップ】","4L","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-E-17","","オリーブ【タンクトップ】","4L","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000021","","ブラック【タンクトップ】","M","","","","",2380,2,2
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000022","","ブラック【タンクトップ】","Ｌ","","","","",2380,1,2
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000023","","ブラック【タンクトップ】","LL","","","","",2380,2,2
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000024","","ブラック【タンクトップ】","3L","","","","",2380,2,2
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000025","","ブラック【タンクトップ】","4L","","","","",3570,3,3
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000026","","ホワイト【タンクトップ】","M","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000029","","ホワイト【タンクトップ】","3L","","","","",2380,1,2
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000030","","ホワイト【タンクトップ】","4L","","","","",2380,2,2
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000031","","アッシュグレー【タンクトップ】","M","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000033","","アッシュグレー【タンクトップ】","LL","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000036","","ライトグレー【タンクトップ】","M","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000039","","ライトグレー【タンクトップ】","3L","","","","",1190,1,1
