※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。

データ対象期間,2025/10/01 ～ 2025/10/31
カタログID,商品管理番号,商品番号,商品名,SKU管理番号,システム連携用SKU番号,"SKU項目1","SKU項目2","SKU項目3","SKU項目4","SKU項目5","SKU項目6",売上金額,売上件数,売上個数
"","30815","","＼1000円以上で送料無料／【温活ショーツ】綿ショーツ 綿 パンツ 綿パンツ クロッチ綿100％ レディース 下着 綿 ショーツ 深め 大きいサイズ ハイウエスト 深履き 深ばき 鼠径部 締め付けない 綿パンツ 温活 LL 3L4L 防寒 保温 お腹すっぽり セットショーツ あったか","r-sku00000023","","ベーシック【E】","LL","","","","",1390,1,1
"","30815","","＼1000円以上で送料無料／【温活ショーツ】綿ショーツ 綿 パンツ 綿パンツ クロッチ綿100％ レディース 下着 綿 ショーツ 深め 大きいサイズ ハイウエスト 深履き 深ばき 鼠径部 締め付けない 綿パンツ 温活 LL 3L4L 防寒 保温 お腹すっぽり セットショーツ あったか","r-sku00000068","","サニタリー【C】","LL","","","","",1190,1,1
"","30815r","","＼10％OFFクーポン配布中／赤いパンツ 還暦祝い 女性 赤 ショーツ 綿パンツ 綿ショーツ ハイウエストショーツ 女性 下着 クロッチ綿100％ レディース 大きいサイズ 60歳 開運 深履き 深め 縁起 ギフト 母の日 敬老の日 コットンショーツ プレゼント 幸運 赤いショーツ 申年","30815R-A-01","","レッド（2枚セット）","M","","","","",1198,1,1
"","30815r","","＼10％OFFクーポン配布中／赤いパンツ 還暦祝い 女性 赤 ショーツ 綿パンツ 綿ショーツ ハイウエストショーツ 女性 下着 クロッチ綿100％ レディース 大きいサイズ 60歳 開運 深履き 深め 縁起 ギフト 母の日 敬老の日 コットンショーツ プレゼント 幸運 赤いショーツ 申年","30815R-B-01","","レッド（2枚セット）","L","","","","",3594,3,3
"","30815r","","＼10％OFFクーポン配布中／赤いパンツ 還暦祝い 女性 赤 ショーツ 綿パンツ 綿ショーツ ハイウエストショーツ 女性 下着 クロッチ綿100％ レディース 大きいサイズ 60歳 開運 深履き 深め 縁起 ギフト 母の日 敬老の日 コットンショーツ プレゼント 幸運 赤いショーツ 申年","30815R-C-01","","レッド（2枚セット）","LL","","","","",1198,1,1
"","30815r","","＼10％OFFクーポン配布中／赤いパンツ 還暦祝い 女性 赤 ショーツ 綿パンツ 綿ショーツ ハイウエストショーツ 女性 下着 クロッチ綿100％ レディース 大きいサイズ 60歳 開運 深履き 深め 縁起 ギフト 母の日 敬老の日 コットンショーツ プレゼント 幸運 赤いショーツ 申年","30815R-D-01","","レッド（2枚セット）","3L","","","","",1198,1,1
"","30815r","","＼10％OFFクーポン配布中／赤いパンツ 還暦祝い 女性 赤 ショーツ 綿パンツ 綿ショーツ ハイウエストショーツ 女性 下着 クロッチ綿100％ レディース 大きいサイズ 60歳 開運 深履き 深め 縁起 ギフト 母の日 敬老の日 コットンショーツ プレゼント 幸運 赤いショーツ 申年","30815R-E-01","","レッド（2枚セット）","4L","","","","",4792,2,4
"","30817","","＼レース ハイウエストショーツ／【綿 レースショーツ】綿ショーツ 深ばき レースレディース 深め 綿パンツ レース レディース ハイウエスト 大きいサイズ 深履き 単品ショーツ お腹すっぽり 温活ショーツ LL3L4L 黒 クロッチ綿100％ 補正ショーツ 下着 骨盤 女性用 送料無料","30817-D-01","","【Ａ】","3L","","","","",4770,1,3
"","30817","","＼レース ハイウエストショーツ／【綿 レースショーツ】綿ショーツ 深ばき レースレディース 深め 綿パンツ レース レディース ハイウエスト 大きいサイズ 深履き 単品ショーツ お腹すっぽり 温活ショーツ LL3L4L 黒 クロッチ綿100％ 補正ショーツ 下着 骨盤 女性用 送料無料","30817-D-02","","【B】","3L","","","","",3180,2,2
"","30817","","＼レース ハイウエストショーツ／【綿 レースショーツ】綿ショーツ 深ばき レースレディース 深め 綿パンツ レース レディース ハイウエスト 大きいサイズ 深履き 単品ショーツ お腹すっぽり 温活ショーツ LL3L4L 黒 クロッチ綿100％ 補正ショーツ 下着 骨盤 女性用 送料無料","30817-D-03","","【C】","3L","","","","",3388,2,2
