※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。

データ対象期間,2025/09/01 ～ 2025/09/30
カタログID,商品管理番号,商品番号,商品名,SKU管理番号,システム連携用SKU番号,"SKU項目1","SKU項目2","SKU項目3","SKU項目4","SKU項目5","SKU項目6",売上金額,売上件数,売上個数
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-D-03","","ベージュ","3L","","","","",3196,1,2
"","30817","","＼レース ハイウエストショーツ／【綿 レースショーツ】綿ショーツ 深ばき レースレディース 深め 綿パンツ レース レディース ハイウエスト 大きいサイズ 深履き 単品ショーツ お腹すっぽり 温活ショーツ LL3L4L 黒 クロッチ綿100％ 補正ショーツ 下着 骨盤 女性用 送料無料","30817-D-01","","【Ａ】","3L","","","","",1798,1,1
