※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。

データ対象期間,2026/03/01 ～ 2026/03/31
カタログID,商品管理番号,商品番号,商品名,SKU管理番号,システム連携用SKU番号,"SKU項目1","SKU項目2","SKU項目3","SKU項目4","SKU項目5","SKU項目6",売上金額,売上件数,売上個数
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000021","","ブラック【タンクトップ】","M","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000022","","ブラック【タンクトップ】","Ｌ","","","","",2380,1,2
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000034","","アッシュグレー【タンクトップ】","3L","","","","",2380,1,2
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000035","","アッシュグレー【タンクトップ】","4L","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000037","","ライトグレー【タンクトップ】","Ｌ","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000040","","ライトグレー【タンクトップ】","4L","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000042","","モカベージュ【タンクトップ】","Ｌ","","","","",2380,2,2
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000043","","モカベージュ【タンクトップ】","LL","","","","",1190,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000045","","モカベージュ【タンクトップ】","4L","","","","",3570,2,3
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","r-sku00000048","","モーヴピンク【タンクトップ】","LL","","","","",1190,1,1
