※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。

データ対象期間,2025/11/01 ～ 2025/11/30
カタログID,商品管理番号,商品番号,商品名,SKU管理番号,システム連携用SKU番号,"SKU項目1","SKU項目2","SKU項目3","SKU項目4","SKU項目5","SKU項目6",売上金額,売上件数,売上個数
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-D-01","","ブラック【タンクトップ】","3L","","","","",3870,2,3
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-D-02","","ブラック【キャミソール】","3L","","","","",1290,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-D-03","","チャコール【タンクトップ】","3L","","","","",1290,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-D-04","","チャコール【キャミソール】","3L","","","","",1290,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-E-01","","ブラック【タンクトップ】","4L","","","","",6650,4,5
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-E-03","","チャコール【タンクトップ】","4L","","","","",1290,1,1
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-A-01","","ブラック","M","","","","",9340,3,6
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-A-02","","モカ","M","","","","",5070,2,3
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-A-03","","ベージュ","M","","","","",1490,1,1
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-B-01","","ブラック","L","","","","",4670,3,3
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-B-02","","モカ","L","","","","",3380,2,2
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-B-03","","ベージュ","L","","","","",2980,2,2
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-C-01","","ブラック","LL","","","","",3380,1,2
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-C-02","","モカ","LL","","","","",1490,1,1
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-C-03","","ベージュ","LL","","","","",1490,1,1
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-D-01","","ブラック","3L","","","","",7450,4,5
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-D-02","","モカ","3L","","","","",5960,4,4
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-D-03","","ベージュ","3L","","","","",2980,2,2
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","30718-A-02","","ブラック（予約：11/10入荷予定）","M","","","","",36570,12,23
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","30718-B-02","","ブラック（予約：11/10入荷予定）","L","","","","",9540,5,6
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","30718-C-01","","ブラック","LL","","","","",6360,3,4
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","30718-D-01","","ブラック","3L","","","","",1590,1,1
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","r-sku00000001","","ブラック（11/10〜順次発送予定）","M","","","","",112890,48,71
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","r-sku00000002","","ブラック（11/10〜順次発送予定）","L","","","","",57240,29,36
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","r-sku00000003","","ブラック（11/10〜順次発送予定）","LL","","","","",9540,5,6
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","r-sku00000004","","ブラック（11/10〜順次発送予定）","3L","","","","",11130,5,7
