※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。

データ対象期間,2025/12/01 ～ 2025/12/31
カタログID,商品管理番号,商品番号,商品名,SKU管理番号,システム連携用SKU番号,"SKU項目1","SKU項目2","SKU項目3","SKU項目4","SKU項目5","SKU項目6",売上金額,売上件数,売上個数
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-A-03","","チャコール【タンクトップ】","M","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-B-01","","ブラック【タンクトップ】","L","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-B-03","","チャコール【タンクトップ】","L","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-B-09","","ライトグレー【タンクトップ】","L","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-B-11","","アッシュブルー【タンクトップ】","L","","","","",2980,2,2
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-D-13","","ホワイト【タンクトップ】","3L","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-E-03","","チャコール【タンクトップ】","4L","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-E-09","","ライトグレー【タンクトップ】","4L","","","","",1490,1,1
"","30705","","【吸湿速乾 ブラトップ】カップ付きインナー レディース ブラトップ タンクトップ キャミソール ノンワイヤーブラ ナイトブラ 締め付けない ブラキャミ カップ付きタンクトップ 大きいサイズ LL 3L 4L ヨガ 温活 ジュニア ロング 夜用ブラ 送料無料","30705-E-17","","オリーブ【タンクトップ】","4L","","","","",2980,2,2
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-A-01","","ブラック","M","","","","",11830,6,7
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-A-02","","モカ","M","","","","",6760,4,4
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-A-03","","ベージュ","M","","","","",3380,1,2
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-B-01","","ブラック","L","","","","",3380,1,2
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-B-02","","モカ","L","","","","",3380,2,2
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-B-03","","ベージュ","L","","","","",1690,1,1
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-C-01","","ブラック","LL","","","","",11830,4,7
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-C-03","","ベージュ","LL","","","","",5070,2,3
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-D-01","","ブラック","3L","","","","",5070,3,3
"","30713","","【アンダーゴムなし ブラトップ】 カップ付きタンクトップ ゴムなし インナー シームレス レディース タンクトップ 締め付けない シームレスブラ  ナイトブラ カップ一体型 胸を小さく見せる ブラキャミ ゴムフリー 大きいサイズ 3L シームレスインナー 送料無料","30713-D-02","","モカ","3L","","","","",6760,3,4
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","r-sku00000017","","ブラック（即納）","M","","","","",225780,112,142
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","r-sku00000018","","ブラック（即納）","L","","","","",268710,130,169
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","r-sku00000019","","ブラック（即納）","LL","","","","",55650,27,35
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","r-sku00000020","","ブラック（即納）","3L","","","","",42930,23,27
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","r-sku00000021","","ブラック（12月下旬入荷予定）","M","","","","",93810,46,59
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","r-sku00000022","","ブラック（12月下旬入荷予定）","L","","","","",50880,22,32
"","30718","","＼10%OFF◆クーポン／【極暖 裏起毛インナー◆超高密度起毛】裏起毛インナー レディース ヒートテック 裏ボア インナー 防寒 シャツ  長袖 カットソー トップス 冬 無地 温活 裏起毛カットソー トップス 冷え対策 保温 毛布 ロンT 送料無料","r-sku00000023","","ブラック（12月下旬入荷予定）","LL","","","","",17490,7,11
